title,price,Place of Origin,Brand Name,Model Number,Fork Material,Rim Material,Wheel Size,Frame Material,Frame Type,Product name,Color,Style,Material,Keywords,Function,Size,Feature,Tire,Age suitable,Gears,Braking System,Application,Logo,Packing,Wheel,MOQ,Net Weight,Fork Suspension,Gross Weight,Pedal Type,Length (m),Load Capacity,Tire Width,packing,Saddle,Pedal,Occasion,Foldable,Volume,Combo Set Offered,gross weight,color,available speed,Certificate,Training Wheels,Frame,Fork,Tires,Shift lever,Front derailleur,Rear Derailleur,Brakes,Freewheel,Type,size,Brake,Rim,Gender,wheels,Stem,Market,Certification,Derailleur,Speed,STYLE,STICKER,COLOR,RIM,TIRE&TUE,GEAR,SHIFTER,BRAKE,SEAT,Motor,Battery,Gear,Loading capacity,Suitable height,Front brake,Rear brake,Seat,user,packaging
Wooden Spinning Balance Bike 12 inch 2 Wheels For Children Kids Bicycle Balance Bike,$20.99,"Zhejiang, China",Sweet,TM1954,Steel,Steel,"12""",Wood,Hard Frame,New design kid mini wooden balance bike,As picture,Modern,Wood,new kid balance bike,balance bike,56*16*31.5CM,Durable,Pump tire,18month-3Y,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
"10"" New Model Fat Tyre Best Selling MINI BMX Bike Rocker Style 10 inch Mini BMX Bike",$130.00,"Shandong, China",xiyi,none,Carbon Fibre,Aluminum Alloy,"10""",Carbon Fibre,Full Shockingproof Frame,balance Bicycle,Customized,BMX bicycle,High carbon steel,none,none,10 Inch,none,none,none,Single Speed,Disc Brake,DIRT JUMP,Customized,Carton Box,10 inch,100 Pieces,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
New design white tiger kid mini wooden balance bike for sale,$19.80,"Zhejiang, China",Sweet,TM1217A,Wood,Steel,"12""",Wood,Hard Frame,New design white tiger kid mini wooden balance bike for sale,As picture,Modern,Wood,new kid balance bike,balance bike,82*39*57CM,Durable,Pump tire,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
NEWBIE China Leading Manufacturer Toddler Racing Kids Balance Bike For Children,$34.00,"Shandong, China",xiyi,M1,Carbon Fibre,Aluminum Alloy,"14""",Magnesium Alloy,Full Shockingproof Frame,balance Bicycle,Customized,Balance Bike For Children,High carbon steel,none,none,14 Inch,none,none,none,Single Speed,Disc Brake,DIRT JUMP,Customized,Carton Box,14 inch,100 Pieces,5.3KG,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
factory supply 26 inch double disc brake other folding mountain bike bicycle foldable OEM bicicleta mtb gear cycle mountianbikes,$59.00,"Tianjin, China",OEM BICYCLE,ZM-161224-C1-38,Steel,Aluminum Alloy,"26""",carbon steel,Full Shockingproof Frame,City MTB Foldable Bike Bicycle,none,Mountain Bike Folding Bike,none,none,none,none,none,Air Tyre,none,21/24/27 speed,Disc Brake,none,OEM Made.welcome Customized Logo,none,none,none,18KG,Yes,20KG,Ordinary Pedal,1.4,150KG,26*2.125,136*21*72,Comfortable,"Alloy Pedals, PVC",Off-Road,Yes,0.2m³,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Fast drop shipping python 26-inch high carbon steel mountain bike adult bicyclesPopular,$59.00,"Tianjin, China",Daurada,YDL-0507,Steel,"Aluminum Alloy, Aluminum","26""",High Carbon Steel,Hard Frame (Non-rear Damper),none,none,none,none,none,none,none,none,none,none,21 Speed,Disc Brake,Racing,none,none,none,none,16kg,Yes,18kg,Ordinary Pedal,1.7,150KG,"26*2.125""",136*21*72,none,none,none,No,0.2m³,3,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Hot Sales New Design Road bicycle Dual Disc Brakes Bike Racing Mountain Bike,$65.00,"Tianjin, China",Customized,YDL-0559,Steel,Aluminum Alloy,"26""",Steel,Hard Frame (Non-rear Damper),none,none,none,none,none,none,none,none,none,none,21 Speed,Disc Brake,Racing,none,none,none,none,17kg,Yes,19kg,Ordinary Pedal,1.7,150KG,none,134*23*72,none,none,On-Road,No,0.2m³,none,19kg,yellow white red,21/24/27 speed,CE,No,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
SAVA carbon bike sale 29 /27.5 inch CE Certificate 27 speed bicicletas mountain bikes 29 carbon fiber bike MTB bicycle in stock,$560.00,"Guangdong, China",SAVA,DECK 2.0,Carbon Fibre,Aluminum Alloy,"29""",Carbon Fibre,Hard Frame (Non-rear Damper),none,"Black grey, black red, white red",none,none,none,none,29''*15''/17''/19'',none,none,none,27 Speed,Disc Brake,none,none,none,none,none,13KG,Yes,18KG,Ordinary Pedal,1.4,100KG,29*2.1,none,none,none,none,none,none,none,none,none,none,none,none,Carbon Fiber,"26/27.5/29 mechanical lockout suspension fork, Travel: 100mm",CST 26*1.95/27.5*1.95/29*2.1,"SHIMANO ALTUS SL-M2000, 3*9-SPEED","SHIMANO ALTUS FD-M2000-F,34.9mm",SHIMANO ALTUS RD-M2000,"SHIMANO BL-MT200, BR-MT200,Disc brake","SUNSHINE 9S, 11-32T",none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
"Directly from Factory mountain bike fat tire snow bike ,Wholesale 20/26 inch snow bike with 4.0 fat tire bicycle",$49.00 - $75.00,"Hebei, China",ANGSI/ OEM,ASBIKE-091,Aluminum Alloy,Aluminum Alloy,"26""",Steel,Hard Frame (Non-rear Damper),fat tire snow bike,"Black, white, yellow,red, green",Moutain Bicycle,none,none,none,none,none,26*4.0,none,21 Speed,Disc Brake,none,none,none,none,none,20-25kg,Yes,20-23 KG,Ordinary Pedal,none,160kg,"26*4""",none,Comfortable,none,none,none,none,none,none,none,none,none,none,Material:  aluminium alloy,none,none,none,none,none,none,none,mountain bike,20/26 inch,Disc brake,Aluminum Alloy Rim,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
"factory wholesale MTB mountain bicycle,China bicicleta 29 mountain bike MTB, magnesium alloy  one-wheel bicycle mountainbike",$29.90 - $79.62,"Hebei, China",Banxing,GMTB-0130,Aluminum,Magnesium Alloy,"20""26""27.5""29""",Aluminum,none,mountain  Bicycle/ bike /MTB cycle/lady city bike,none,none,none,none,none,none,none,none,none,21 Speed,none,none,Customized Logo,none,none,none,11.5kg,Yes,12.5KGS,none,none,none,none,none,none,Aluminum  pedal,none,No,none,none,none,none,none,none,none,none,Suspension Fork,none,none,none,none,none,none,Mountain Bike,none,Double Disc brake,none,Men,magnesium alloy  one-wheel,Aluminum Stem,"vietnam,Ukraine,africa,south america ,Thailand etc","CE,EN71,CCC,SGS,ASTM,CPC",Chinese Brand,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Preferential Factory Price 29 Inch 12 Speed Light Weight Aluminum Student Bicycle Bicicleta Mountain Bike Biciclets mtb bicycle,$100.84 - $184.90,"Tianjin, China",SUPANDA,990,Aluminum Alloy,Aluminum Alloy,29'',Aluminum Alloy,Hard Frame (Non-rear Damper),Mountain Bike,"White,Red,Light Blue or Custom",Ride Road Bicycles,Aluminum Alloy,none,none,none,Exercise Balance,none,none,12 Speed,Disc Brake,none,Customized Logo,none,none,1pcs,18KG,Yes,17KG,Ordinary Pedal,1.8,150KG,29*2.10'',none,none,none,none,none,none,none,none,none,none,none,none,Aluminum Alloy,none,none,none,none,none,none,none,none,none,Disk Brake,none,none,none,none,none,none,none,12speed,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
High Quality 21 Speed Steel Mountain Bike MTB Bicycle,$68.68 - $92.92,"Zhejiang, China",A-ONE,AO-M26F2,Steel,ALLOY,"1.95""",Steel,/,High Quality 21 Speed Steel Mountain Bike MTB Bicycle,none,none,none,none,none,none,none,none,none,21 Speed,/,none,none,none,none,none,20KGS,NO,20KGS,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,MOUNTAIN BIKE,AS TO BUYER,AS TO BUYER,OPC .CNC,"1.95"",BUTYLE,A/V","SHIMANO 21SPEED ,INDEX",RAPIDFIRE- SHIFTER,BOTH DISC -BRAKE AMD ALLOY LEVER,MTB TYPE W/ RAIL,none,none,none,none,none,none,none,none,none,none
"500W Electric Motorized Mid Drive Pedal Assist 26"" Wheel Fat Tire Trike Recumbent Tricycle For Sale","$2,959.00 - $3,699.00","Henan, China",TRIKEXPLOR,F326E,Aluminum Alloy,Aluminum Alloy,"Front 20-4.0, rear 26-4.0",Aluminum Alloy,Hard Frame (Non-rear Damper),none,"red, blue, white and black",none,none,none,none,none,none,none,none,9 Speed,Disc Brake,none,none,none,none,none,30 kg,NO,40,Ordinary Pedal,none,125kg,"26*4""",none,none,none,none,none,none,none,none,none,none,none,none,Aluminum alloy 6061 T6,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,BAFANG 48v 500w mid drive motor,48v 14.5ah lithium battery,Shimano 9 speeds,125 kg,1.6-2.0 m,BB7 disc brake,BB7 disc brake,Fiber glass seat with cushion,none,none
China factory cheap steel high quality adult bicycle mountain bike,$92.92,"Zhejiang, China",A-ONE,AO-M26F2,Steel,Aluminum Alloy,"1.95""",Steel,Full Shockingproof Frame,China factory cheap steel high quality adult bicycle mountain bike,none,none,none,none,none,none,none,none,none,21 Speed,Disc Brake,none,none,none,none,none,20KGS,NO,20,Ordinary Pedal,none,none,custom,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,MOUNTAIN BIKE,AS TO BUYER,AS TO BUYER,OPC .CNC,"1.95"",BUTYLE,A/V","SHIMANO 21SPEED ,INDEX",RAPIDFIRE- SHIFTER,BOTH DISC -BRAKE AMD ALLOY LEVER,MTB TYPE W/ RAIL,none,none,none,none,none,none,none,none,none,none
2022 factory price folding mountain bike mtb bicycle men steel folding mountainbikes 26 inch 29inch downhill cycle,$59.00,"Tianjin, China",DUARADA,YDL-0843,Steel,"Steel, Aluminum","26""",Steel,Full Shockingproof Frame,OEM ODM manufacturer Customized Factory MTB bicicleta de montaa,Customized,Ride Road Bicycles,none,none,none,none,none,none,none,21 Speed,Disc Brake,Racing,none,none,none,none,17KGS,NO,19KGS,Ordinary Pedal,1.8,150KGS,"26*1.75""",none,none,none,none,Yes,none,none,none,none,none,none,No,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,men women,130*20*68
